freq	dB(S(2,1))
2.24100000000000010E9	-1.59655804440877036E-3
2.25099999999999989E9	-3.82323742410367906E-5
2.26100000000000012E9	-7.87479601482078628E-4
2.27099999999999991E9	-3.89364987243410976E-3
2.28099999999999969E9	-9.29753086649397353E-3
2.29099999999999993E9	-1.68244021996161841E-2
2.30099999999999971E9	-2.61814458119328197E-2
2.31099999999999994E9	-3.69600638107111079E-2
2.32100000000000017E9	-4.86435185915694923E-2
2.33099999999999996E9	-6.06201988085490839E-2
2.34100000000000019E9	-7.22027616735800137E-2
2.35099999999999998E9	-8.26534380568102733E-2
2.36099999999999977E9	-9.12159373135761520E-2
2.37100000000000000E9	-9.71546703045146387E-2
2.38099999999999978E9	-9.98024262229032466E-2
2.39100000000000001E9	-9.86181788718806907E-2
2.40099999999999980E9	-9.32573210538830466E-2
2.41100000000000003E9	-8.36572455672732573E-2
2.42100000000000026E9	-7.01416412936855416E-2
2.43100000000000005E9	-5.35468504839000481E-2
2.44099999999999984E9	-3.53726210520258100E-2
2.45099999999999962E9	-1.79567614218704685E-2
2.46099999999999985E9	-4.66737942175204257E-3
2.47100000000000009E9	-9.61199000608521992E-5
2.48099999999999987E9	-1.02199306424055081E-2
2.49100000000000010E9	-4.24777676959142259E-2
2.50099999999999989E9	-1.05686583251212363E-1
2.51100000000000012E9	-2.09708916627077402E-1
2.52099999999999991E9	-3.64800854219699877E-1
2.53099999999999969E9	-5.80633516497940860E-1
2.54099999999999993E9	-8.65096802923890174E-1
2.55099999999999971E9	-1.22312642497086199E0
2.56100000000000039E9	-1.65587045806720123E0
2.57100000000000017E9	-2.16045807037599502E0
2.58100000000000041E9	-2.73044770363435285E0
2.59100000000000019E9	-3.35680466575501413E0
2.60099999999999998E9	-4.02911104702022715E0
2.61100000000000021E9	-4.73670545546744304E0
2.62100000000000000E9	-5.46955386445397895E0
2.63100000000000023E9	-6.21878624047838802E0
2.64100000000000046E9	-6.97693366378809099E0
2.65100000000000025E9	-7.73794735499197106E0
2.66100000000000048E9	-8.49708557139313747E0
2.67100000000000026E9	-9.25073723170139317E0
2.68100000000000005E9	-9.99622853497976038E0
2.69100000000000028E9	-1.07316392338561273E1
2.70100000000000007E9	-1.14556412584324452E1
2.71100000000000030E9	-1.21673637157784120E1
2.72100000000000009E9	-1.28662835448642232E1
2.73100000000000032E9	-1.35521389025015360E1
2.74100000000000055E9	-1.42248616309782316E1
2.75100000000000033E9	-1.48845252077271306E1
2.76100000000000012E9	-1.55313049767702238E1
2.77099999999999991E9	-1.61654479753616664E1
2.78100000000000014E9	-1.67872501782671302E1
2.79100000000000037E9	-1.73970394342487511E1
2.80100000000000016E9	-1.79951627479991272E1
2.81100000000000039E9	-1.85819768668977803E1
2.82100000000000017E9	-1.91578413739271047E1
2.83100000000000041E9	-1.97231136765233517E1
2.84100000000000019E9	-2.02781454264593108E1
2.85099999999999998E9	-2.08232800172074617E1
2.86100000000000021E9	-2.13588508902060958E1
2.87100000000000000E9	-2.18851804461355526E1
2.88100000000000023E9	-2.24025794064858852E1
2.89100000000000046E9	-2.29113465080632039E1
2.90100000000000025E9	-2.34117684414734439E1
2.91100000000000048E9	-2.39041199662066672E1
2.92100000000000026E9	-2.43886641513599889E1
2.93100000000000005E9	-2.48656527035328523E1
2.94100000000000028E9	-2.53353263529430750E1
2.95100000000000007E9	-2.57979152760630326E1
2.96100000000000030E9	-2.62536395385999244E1
2.97100000000000009E9	-2.67027095468551323E1
2.98100000000000032E9	-2.71453264987050957E1
2.99100000000000055E9	-2.75816828278852366E1
3.00100000000000033E9	-2.80119626371126307E1
3.01100000000000012E9	-2.84363421169867436E1
3.02099999999999991E9	-2.88549899486674954E1
3.03100000000000014E9	-2.92680676891253322E1
3.04100000000000037E9	-2.96757301383522742E1
3.05100000000000016E9	-3.00781256883611769E1
3.06100000000000039E9	-3.04753966541203347E1
3.07100000000000017E9	-3.08676795868006071E1
3.08100000000000041E9	-3.12551055698719571E1
3.09100000000000019E9	-3.16378004986949612E1
3.10099999999999998E9	-3.20158853443203517E1
3.11100000000000021E9	-3.23894764022488335E1
3.12100000000000000E9	-3.27586855269191357E1
3.13100000000000023E9	-3.31236203526926243E1
3.14100000000000046E9	-3.34843845020904007E1
3.15100000000000025E9	-3.38410777820188091E1
3.16100000000000048E9	-3.41937963686928370E1
3.17100000000000026E9	-3.45426329819371380E1
3.18100000000000005E9	-3.48876770495119448E1
3.19100000000000028E9	-3.52290148620779409E1
3.20100000000000051E9	-3.55667297193803922E1
3.21099999999999985E9	-3.59009020681993363E1
3.22100000000000009E9	-3.62316096325801817E1
3.23100000000000032E9	-3.65589275368275812E1
3.24100000000000055E9	-3.68829284217147446E1
3.25100000000000033E9	-3.72036825543320671E1
3.26100000000000012E9	-3.75212579319711903E1
3.27099999999999991E9	-3.78357203804147968E1
3.28100000000000014E9	-3.81471336469782596E1
3.29100000000000037E9	-3.84555594886261431E1
3.30100000000000060E9	-3.87610577554653357E1
3.31099999999999994E9	-3.90636864698963127E1
3.32100000000000017E9	-3.93635019016854804E1
3.33100000000000041E9	-3.96605586392041820E1
3.34100000000000019E9	-3.99549096570631557E1
3.35100000000000042E9	-4.02466063803565177E1
3.36099999999999977E9	-4.05356987457152140E1
3.37100000000000000E9	-4.08222352593563187E1
3.38100000000000023E9	-4.11062630523027650E1
3.39100000000000046E9	-4.13878279329364052E1
3.40100000000000069E9	-4.16669744370369433E1
3.41100000000000003E9	-4.19437458754492454E1
3.42100000000000026E9	-4.22181843795124134E1
3.43100000000000005E9	-4.24903309443756161E1
3.44100000000000028E9	-4.27602254703175433E1
3.45100000000000051E9	-4.30279068021790234E1
3.46099999999999985E9	-4.32934127670117608E1
3.47100000000000009E9	-4.35567802100392054E1
3.48100000000000032E9	-4.38180450290201318E1
3.49100000000000055E9	-4.40772422070995962E1
3.50100000000000033E9	-4.43344058442270228E1
3.51100000000000012E9	-4.45895691872162470E1
3.52099999999999991E9	-4.48427646585176021E1
3.53100000000000014E9	-4.50940238837685392E1
3.54100000000000037E9	-4.53433777181847031E1
3.55100000000000060E9	-4.55908562718501553E1
3.56099999999999994E9	-4.58364889339617232E1
3.57100000000000017E9	-4.60803043960797165E1
3.58100000000000041E9	-4.63223306744335428E1
3.59100000000000019E9	-4.65625951313287434E1
3.60100000000000042E9	-4.68011244956988381E1
3.61099999999999977E9	-4.70379448828430391E1
3.62100000000000000E9	-4.72730818133887976E1
3.63100000000000023E9	-4.75065602315155644E1
3.64100000000000046E9	-4.77384045224747577E1
3.65100000000000069E9	-4.79686385294383566E1
3.66100000000000003E9	-4.81972855697073843E1
3.67100000000000026E9	-4.84243684503093696E1
3.68100000000000005E9	-4.86499094830126566E1
3.69100000000000028E9	-4.88739304987839240E1
3.70100000000000051E9	-4.90964528617135088E1
3.71099999999999985E9	-4.93174974824326018E1
3.72100000000000009E9	-4.95370848310442735E1
3.73100000000000032E9	-4.97552349495897950E1
3.74100000000000055E9	-4.99719674640704348E1
3.75100000000000033E9	-5.01873015960435787E1
3.76100000000000012E9	-5.04012561738117970E1
3.77099999999999991E9	-5.06138496432216733E1
3.78100000000000014E9	-5.08251000780891982E1
3.79100000000000037E9	-5.10350251902668628E1
3.80100000000000060E9	-5.12436423393678719E1
3.81099999999999994E9	-5.14509685421610818E1
3.82100000000000017E9	-5.16570204816504575E1
3.83100000000000041E9	-5.18618145158515809E1
3.84100000000000019E9	-5.20653666862776898E1
3.85100000000000042E9	-5.22676927261466062E1
3.86099999999999977E9	-5.24688080683197544E1
3.87100000000000000E9	-5.26687278529837943E1
3.88100000000000023E9	-5.28674669350850746E1
3.89100000000000046E9	-5.30650398915262400E1
3.90100000000000069E9	-5.32614610281344980E1
3.91100000000000003E9	-5.34567443864099889E1
3.92100000000000026E9	-5.36509037500629304E1
3.93100000000000005E9	-5.38439526513472355E1
3.94100000000000028E9	-5.40359043771985004E1
3.95100000000000051E9	-5.42267719751834854E1
3.96099999999999985E9	-5.44165682592681854E1
3.97100000000000009E9	-5.46053058154110982E1
3.98100000000000032E9	-5.47929970069881556E1
3.99100000000000055E9	-5.49796539800553585E1
4.00100000000000033E9	-5.51652886684550037E1
4.01100000000000012E9	-5.53499127987711326E1
4.02099999999999991E9	-5.55335378951396219E1
4.03100000000000058E9	-5.57161752839179236E1
4.04100000000000037E9	-5.58978360982195444E1
4.05100000000000016E9	-5.60785312823178561E1
4.06099999999999994E9	-5.62582715959240076E1
4.07099999999999973E9	-5.64370676183428799E1
4.08100000000000041E9	-5.66149297525118289E1
4.09100000000000019E9	-5.67918682289256349E1
4.10100000000000087E9	-5.69678931094519747E1
4.11099999999999977E9	-5.71430142910408811E1
4.12100000000000044E9	-5.73172415093317333E1
4.13100000000000023E9	-5.74905843421613039E1
4.14100000000000001E9	-5.76630522129760692E1
4.15100000000000069E9	-5.78346543941519453E1
4.16099999999999959E9	-5.80054000102244238E1
4.17100000000000026E9	-5.81752980410321818E1
4.18100000000000005E9	-5.83443573247767588E1
4.19100000000000072E9	-5.85125865610011697E1
4.20100000000000051E9	-5.86799943134899316E1
4.21100000000000030E9	-5.88465890130930891E1
4.22100000000000009E9	-5.90123789604765392E1
4.23099999999999987E9	-5.91773723288010878E1
4.24100000000000055E9	-5.93415771663324332E1
4.25100000000000033E9	-5.95050013989840565E1
4.26100000000000012E9	-5.96676528327954703E1
4.27099999999999991E9	-5.98295391563473711E1
4.28100000000000058E9	-5.99906679431159340E1
4.29100000000000037E9	-6.01510466537679722E1
4.30100000000000016E9	-6.03106826383988537E1
4.31099999999999994E9	-6.04695831387146399E1
4.32099999999999973E9	-6.06277552901605787E1
4.33100000000000041E9	-6.07852061239969554E1
4.34100000000000019E9	-6.09419425693244321E1
4.35100000000000087E9	-6.10979714550599251E1
4.36099999999999977E9	-6.12532995118648138E1
4.37100000000000044E9	-6.14079333740265199E1
4.38100000000000023E9	-6.15618795812951625E1
4.39100000000000001E9	-6.17151445806763022E1
4.40100000000000069E9	-6.18677347281812740E1
4.41099999999999959E9	-6.20196562905360427E1
4.42100000000000026E9	-6.21709154468500191E1
4.43100000000000005E9	-6.23215182902458498E1
4.44100000000000072E9	-6.24714708294512988E1
4.45100000000000051E9	-6.26207789903542267E1
4.46100000000000030E9	-6.27694486175218103E1
4.47100000000000009E9	-6.29174854756849022E1
4.48099999999999987E9	-6.30648952511884797E1
4.49100000000000055E9	-6.32116835534092125E1
