time	Vo
1.71219999999999661E-9	1.46234217461936611E-10
1.72219999999999618E-9	3.49143223119242130E-10
1.73219999999999597E-9	5.40982633268058422E-10
1.74219999999999553E-9	7.18418709916262532E-10
1.75219999999999598E-9	8.78476510671464261E-10
1.76219999999999577E-9	1.01859392350666211E-9
1.77219999999999600E-9	1.13666588926912637E-9
1.78219999999999601E-9	1.23107800647565835E-9
1.79219999999999602E-9	1.30072896139329797E-9
1.80219999999999581E-9	1.34504148245116228E-9
1.81219999999999581E-9	1.36396177865302559E-9
1.82219999999999605E-9	1.35794768327179494E-9
1.83219999999999539E-9	1.32794597983653606E-9
1.84219999999999517E-9	1.27535962788086898E-9
1.85219999999999541E-9	1.20200582292615121E-9
1.86219999999999497E-9	1.11006601438783625E-9
1.87219999999999587E-9	1.00202916501471173E-9
1.88219999999999565E-9	8.80629664644924048E-10
1.89219999999999611E-9	7.48781407007727395E-10
1.90219999999999656E-9	6.09509598693891963E-10
1.91219999999999679E-9	4.65881893122516999E-10
1.92219999999999658E-9	3.20940428791439469E-10
1.93219999999999636E-9	1.77636299680803078E-10
1.94219999999999660E-9	3.87678968577895633E-11
1.95219999999999727E-9	-9.30755623842501301E-11
1.96219999999999706E-9	-2.15564151792193970E-10
1.97219999999999729E-9	-3.26670005335524882E-10
1.98219999999999796E-9	-4.24701933027922784E-10
1.99219999999999775E-9	-5.08331283171407655E-10
2.00219999999999798E-9	-5.76608668746254871E-10
2.01219999999999777E-9	-6.28971400660523372E-10
2.02219999999999844E-9	-6.65241695262508337E-10
2.03219999999999867E-9	-6.85615941343272173E-10
2.04219999999999802E-9	-6.90645517646326113E-10
2.05219999999999869E-9	-6.81209840980276660E-10
2.06219999999999981E-9	-6.58482492978783185E-10
2.07219999999999960E-9	-6.23891417269513404E-10
2.08219999999999894E-9	-5.79074296989408310E-10
2.09219999999999917E-9	-5.25830314214969530E-10
2.10219999999999896E-9	-4.66069555420977100E-10
2.11220000000000008E-9	-4.01761356896605992E-10
2.12219999999999942E-9	-3.34882879096815689E-10
2.13220000000000010E-9	-2.67369160707341091E-10
2.14220000000000033E-9	-2.01065835769668322E-10
2.15220000000000011E-9	-1.37685604348062096E-10
2.16220000000000079E-9	-7.87694312521587925E-11
2.17220000000000102E-9	-2.56533102314418926E-11
2.18220000000000081E-9	2.05587241044604641E-11
2.19220000000000104E-9	5.90148235881384053E-11
2.20220000000000127E-9	8.91284591746739530E-11
2.21220000000000150E-9	1.10584310246485096E-10
2.22220000000000217E-9	1.23336947530715535E-10
2.23220000000000196E-9	1.27602526645648684E-10
2.24220000000000219E-9	1.23843877962151816E-10
2.25220000000000198E-9	1.12749532646900352E-10
2.26220000000000265E-9	9.52073632907868195E-11
2.27220000000000244E-9	7.22736388391270612E-11
2.28220000000000312E-9	4.51383942075921052E-11
2.29220000000000290E-9	1.50880908951853954E-11
2.30220000000000358E-9	-1.65334064739181485E-11
2.31220000000000336E-9	-4.83644917865525592E-11
2.32220000000000359E-9	-7.90650772984075623E-11
2.33220000000000294E-9	-1.07354443679315437E-10
2.34220000000000317E-9	-1.32046728695759352E-10
2.35220000000000384E-9	-1.52083181510169108E-10
2.36220000000000452E-9	-1.66560407184806247E-10
2.37220000000000431E-9	-1.74753940505375183E-10
2.38220000000000454E-9	-1.76136618290212699E-10
2.39220000000000432E-9	-1.70391362581192540E-10
2.40220000000000500E-9	-1.57418138889924064E-10
2.41220000000000390E-9	-1.37335007975648082E-10
2.42220000000000502E-9	-1.10473341344079734E-10
2.43220000000000525E-9	-7.73674167130212886E-11
2.44220000000000503E-9	-3.87387480400964757E-11
2.45220000000000482E-9	4.52436725709077692E-12
2.46220000000000638E-9	5.13914868614608444E-11
2.47220000000000617E-9	1.00718153120267573E-10
2.48220000000000596E-9	1.51276739904606128E-10
2.49220000000000619E-9	2.01789184851069026E-10
2.50220000000000642E-9	2.50960739579652170E-10
2.51220000000000665E-9	2.97513858892142702E-10
2.52220000000000732E-9	3.40221361515703702E-10
2.53220000000000667E-9	3.77938027323945214E-10
2.54220000000000779E-9	4.09629846992011348E-10
2.55220000000000802E-9	4.34400208941266719E-10
2.56220000000000780E-9	4.51512391809925173E-10
2.57220000000000715E-9	4.60407796888857312E-10
2.58220000000000782E-9	4.60719281778966838E-10
2.59220000000000805E-9	4.52278511555068086E-10
2.60220000000000873E-9	4.35115289828385343E-10
2.61220000000000852E-9	4.09445708663790686E-10
2.62220000000000830E-9	3.75645529915782861E-10
2.63220000000000853E-9	3.34206260965395563E-10
2.64220000000000965E-9	2.85673875893530438E-10
2.65220000000000899E-9	2.30573171565960955E-10
2.66220000000000967E-9	1.69323257800239091E-10
2.67220000000000946E-9	1.02151015304413728E-10
2.68220000000000969E-9	2.90094493236643913E-11
2.69220000000000947E-9	-5.04928904838286652E-11
2.70220000000000971E-9	-1.37145971360695729E-10
2.71220000000000994E-9	-2.32169514967185808E-10
2.72220000000001061E-9	-3.37211327030509489E-10
2.73220000000001129E-9	-4.54296892031684862E-10
2.74220000000001018E-9	-5.85711048138288248E-10
2.75220000000001086E-9	-7.33796534371464748E-10
2.76220000000001020E-9	-9.00666385014553583E-10
2.77220000000001132E-9	-1.08784307277413905E-9
2.78220000000001111E-9	-1.29585078181045943E-9
2.79220000000001134E-9	-1.52379465855243490E-9
2.80220000000001157E-9	-1.76896257611701557E-9
2.81220000000001180E-9	-2.02648312761083194E-9
2.82220000000001248E-9	-2.28907042410158956E-9
2.83220000000001182E-9	-2.54688306813140519E-9
2.84220000000001205E-9	-2.78752170388133091E-9
2.85220000000001228E-9	-2.99618591463656347E-9
2.86220000000001296E-9	-3.15600470996841942E-9
2.87220000000001274E-9	-3.24854327236288576E-9
2.88220000000001297E-9	-3.25447269636119474E-9
2.89220000000001320E-9	-3.15437363175655738E-9
2.90220000000001388E-9	-2.92963445043548276E-9
2.91220000000001367E-9	-2.56340191578277876E-9
2.92220000000001434E-9	-2.04154493136847837E-9
2.93220000000001368E-9	-1.35359547478567999E-9
2.94220000000001480E-9	-4.93632491056136757E-10
2.95220000000001459E-9	5.38925764351447256E-10
2.96220000000001349E-9	1.73865610710654006E-9
2.97220000000001505E-9	3.09362586852454813E-9
2.98220000000001439E-9	4.58507985002388274E-9
2.99220000000001463E-9	6.18734160388394017E-9
3.00220000000001486E-9	7.86794162611574865E-9
3.01220000000001553E-9	9.58797533920136580E-9
3.02220000000001576E-9	1.13026877305731444E-8
3.03220000000001599E-9	1.29622796062111001E-8
3.04220000000001622E-9	1.45129295631775967E-8
3.05220000000001557E-9	1.58980220035118647E-8
3.06220000000001535E-9	1.70595632595145386E-8
3.07220000000001603E-9	1.79397570009398422E-8
3.08220000000001715E-9	1.84826998340046122E-8
3.09220000000001694E-9	1.86361507354093070E-8
3.10220000000001717E-9	1.83533242963953436E-8
3.11220000000001740E-9	1.75946570502764055E-8
3.12220000000001718E-9	1.63294970598451172E-8
3.13220000000001697E-9	1.45376676493798040E-8
3.14220000000001765E-9	1.22108553866846159E-8
3.15220000000001832E-9	9.35377079127439082E-9
3.16220000000001811E-9	5.98503052275050251E-9
3.17220000000001834E-9	2.13771487595634069E-9
3.18220000000001857E-9	-2.14043527382757093E-9
3.19220000000001924E-9	-6.78720490953574895E-9
3.20220000000001725E-9	-1.17264852526771834E-8
3.21220000000001837E-9	-1.68692488819023567E-8
3.22220000000001905E-9	-2.21149124934644625E-8
3.23220000000001884E-9	-2.73530724191820740E-8
3.24220000000001995E-9	-3.24655889907024653E-8
3.25220000000001885E-9	-3.73289851548016749E-8
3.26220000000001997E-9	-4.18171128240942025E-8
3.27220000000001932E-9	-4.58040286591447554E-8
3.28220000000001955E-9	-4.91670115182969703E-8
3.29220000000002022E-9	-5.17896485437464449E-8
3.30220000000001956E-9	-5.35649157297691403E-8
3.31220000000002068E-9	-5.43981796795647021E-8
3.32220000000001958E-9	-5.42100476105971207E-8
3.33220000000002070E-9	-5.29389918746953647E-8
3.34220000000002049E-9	-5.05436749854547696E-8
3.35220000000002116E-9	-4.70049037887676935E-8
3.36220000000002139E-9	-4.23271481909824310E-8
3.37220000000002162E-9	-3.65395702780082265E-8
3.38220000000002186E-9	-2.96965223005560741E-8
3.39220000000002209E-9	-2.18774853935644487E-8
3.40220000000002232E-9	-1.31864338390434810E-8
3.41220000000002299E-9	-3.75062151334189320E-9
3.42220000000002234E-9	6.28120172162198642E-9
3.43220000000002301E-9	1.67411240760172020E-8
3.44220000000002280E-9	2.74449228385352928E-8
3.45220000000002303E-9	3.81953832042724173E-8
3.46220000000002370E-9	4.87860205755936427E-8
3.47220000000002260E-9	5.90051296451991725E-8
3.48220000000002283E-9	6.86400751441282431E-8
3.49220000000002440E-9	7.74817338398662869E-8
3.50220000000002329E-9	8.53289937016023536E-8
3.51220000000002353E-9	9.19932132008927184E-8
3.52220000000002420E-9	9.73025415493885504E-8
3.53220000000002443E-9	1.01105999960847592E-7
3.54220000000002377E-9	1.03277225688493823E-7
3.55220000000002489E-9	1.03717785614125546E-7
3.56220000000002601E-9	1.02359975108966417E-7
3.57220000000002491E-9	9.91690301859244983E-8
3.58220000000002470E-9	9.41446948944974693E-8
3.59220000000002537E-9	8.73220996719265052E-8
3.60220000000002472E-9	7.87719194307649051E-8
3.61220000000002539E-9	6.85997935099508283E-8
3.62220000000002518E-9	5.69450045731250487E-8
3.63220000000002541E-9	4.39784304471522169E-8
3.64220000000002564E-9	2.98998008102747548E-8
3.65220000000002631E-9	1.49343080603704070E-8
3.66220000000002655E-9	-6.71362618371678632E-10
3.67220000000002678E-9	-1.66535057058900482E-8
3.68220000000002701E-9	-3.27362813628586213E-8
3.69220000000002635E-9	-4.86369176519035484E-8
3.70220000000002702E-9	-6.40711246874499274E-8
3.71220000000002726E-9	-7.87586104134768661E-8
3.72220000000002749E-9	-9.24285828683566457E-8
3.73220000000002727E-9	-1.04825121425684320E-7
3.74220000000002795E-9	-1.15712300960451264E-7
3.75220000000002729E-9	-1.24878958487409486E-7
3.76220000000002663E-9	-1.32143000583579528E-7
3.77220000000002553E-9	-1.37355160438215007E-7
3.78220000000002665E-9	-1.40402124817467877E-7
3.79220000000002599E-9	-1.41208963535268461E-7
3.80220000000002667E-9	-1.39740807537585043E-7
3.81220000000002468E-9	-1.36003736760026217E-7
3.82220000000002491E-9	-1.30044855631325817E-7
3.83220000000002425E-9	-1.21951552243110273E-7
3.84220000000002582E-9	-1.11849956006552675E-7
3.85220000000002516E-9	-9.99026267820995884E-8
3.86220000000002450E-9	-8.63055247921363744E-8
3.87220000000002340E-9	-7.12843247148380321E-8
3.88220000000002319E-9	-5.50901497612191093E-8
3.89220000000002342E-9	-3.79948130375139570E-8
3.90220000000002232E-9	-2.02856642117502828E-8
3.91220000000002388E-9	-2.26014869242057426E-9
3.92220000000002234E-9	1.57798068485853360E-8
3.93220000000002168E-9	3.35334653817234818E-8
3.94220000000002235E-9	5.07068895570095268E-8
3.95220000000002258E-9	6.70183765279550059E-8
3.96220000000002148E-9	8.22036086609426953E-8
3.97220000000002127E-9	9.60204185152170453E-8
3.98220000000002017E-9	1.08253075101999641E-7
3.99220000000002084E-9	1.18716008369155124E-7
4.00220000000002152E-9	1.27256900590132682E-7
4.01220000000002130E-9	1.33759087331216620E-7
4.02220000000001932E-9	1.38143226739900515E-7
4.03220000000001999E-9	1.40368213060878655E-7
4.04220000000002067E-9	1.40431327327130218E-7
4.05220000000002045E-9	1.38367634328362143E-7
4.06220000000001935E-9	1.34248650118790369E-7
4.07220000000001914E-9	1.28180318698720841E-7
4.08220000000001892E-9	1.20300350206305406E-7
4.09220000000001782E-9	1.10774985870438458E-7
4.10220000000001761E-9	9.97952667745488498E-8
4.11220000000001829E-9	8.75728936186697027E-8
4.12220000000001896E-9	7.43357724384950025E-8
4.13220000000001786E-9	6.03233460816590039E-8
4.14220000000001676E-9	4.57818131279321783E-8
4.15220000000001654E-9	3.09593354444720692E-8
4.16220000000001811E-9	1.61013334105964256E-8
4.17220000000001612E-9	1.44596431906498513E-9
4.18220000000001679E-9	-1.27801257276738633E-8
4.19220000000001747E-9	-2.63656934345938065E-8
4.20220000000001637E-9	-3.91183600745033555E-8
4.21220000000001615E-9	-5.08675816119555257E-8
4.22220000000001505E-9	-6.14670783557278888E-8
4.23220000000001573E-9	-7.07966889435418611E-8
4.24220000000001551E-9	-7.87636272027924811E-8
4.25220000000001441E-9	-8.53031338421411434E-8
4.26220000000001509E-9	-9.03785278784916635E-8
4.27220000000001399E-9	-9.39806753598336364E-8
4.28220000000001466E-9	-9.61269054763853781E-8
4.29220000000001356E-9	-9.68594163285332144E-8
4.30220000000001246E-9	-9.62432237228355092E-8
4.31220000000001313E-9	-9.43637155760793078E-8
4.32220000000001381E-9	-9.13238813969933361E-8
4.33220000000001271E-9	-8.72412910067981073E-8
4.34220000000001249E-9	-8.22448995444685416E-8
4.35220000000001228E-9	-7.64717571747419811E-8
4.36220000000001118E-9	-7.00637018344402129E-8
4.37220000000001185E-9	-6.31641117101271998E-8
4.38220000000001075E-9	-5.59147907616976880E-8
4.39220000000001232E-9	-4.84530553113793960E-8
4.40220000000001033E-9	-4.09090824620958848E-8
4.41220000000001100E-9	-3.34035721862176693E-8
4.42220000000001079E-9	-2.60457649910207323E-8
4.43220000000000969E-9	-1.89318468416282570E-8
4.44220000000001036E-9	-1.21437628858737967E-8
4.45220000000001015E-9	-5.74845140101364827E-9
4.46220000000000994E-9	2.02500969780817996E-10
4.47220000000000883E-9	5.67279220135768902E-9
4.48220000000000862E-9	1.06409460309585757E-8
4.49220000000000930E-9	1.50994909227278340E-8
4.50220000000000820E-9	1.90538150237964077E-8
4.51220000000000798E-9	2.25207422673575142E-8
4.52220000000000955E-9	2.55268801049556959E-8
4.53220000000000756E-9	2.81067930942350230E-8
4.54220000000000645E-9	3.03010589786620388E-8
4.55220000000000713E-9	3.21542652187058664E-8
4.56220000000000780E-9	3.37130041646665912E-8
4.57220000000000670E-9	3.50239238827988153E-8
4.58220000000000560E-9	3.61318886902270719E-8
4.59220000000000628E-9	3.70782986683428994E-8
4.60220000000000695E-9	3.78996111892096410E-8
4.61220000000000496E-9	3.86261003832316918E-8
4.62220000000000475E-9	3.92808829464595100E-8
4.63220000000000542E-9	3.98792309193778127E-8
4.64220000000000610E-9	4.04281840858605790E-8
4.65220000000000589E-9	4.09264664309206516E-8
4.66220000000000478E-9	4.13647026904435045E-8
4.67220000000000457E-9	4.17259225583844184E-8
4.68220000000000436E-9	4.19863319043475336E-8
4.69220000000000326E-9	4.21163228957034086E-8
4.70220000000000393E-9	4.20816886995069694E-8
4.71220000000000461E-9	4.18450036610931342E-8
4.72220000000000351E-9	4.13671263499064423E-8
4.73220000000000329E-9	4.06087803135831749E-8
4.74220000000000219E-9	3.95321656523971132E-8
4.75220000000000198E-9	3.81025537804119674E-8
4.76220000000000265E-9	3.62898182745836273E-8
4.77220000000000155E-9	3.40698567202046476E-8
4.78220000000000223E-9	3.14258619222532598E-8
4.79220000000000201E-9	2.83494055763245889E-8
4.80220000000000180E-9	2.48413031754743008E-8
4.81220000000000070E-9	2.09122352029903347E-8
4.82219999999999960E-9	1.65831062009153873E-8
4.83220000000000116E-9	1.18851299743314831E-8
4.84220000000000095E-9	6.85963608042692030E-9
4.85220000000000073E-9	1.55759999235212887E-9
4.86220000000000052E-9	-3.96109316565256364E-9
4.87219999999999942E-9	-9.62863403819734565E-9
4.88220000000000010E-9	-1.53704996082202316E-8
4.89219999999999899E-9	-2.11068591801302352E-8
4.90219999999999878E-9	-2.67541413906691972E-8
4.91219999999999768E-9	-3.22267241940993365E-8
4.92219999999999835E-9	-3.74387069719964094E-8
4.93219999999999814E-9	-4.23057219483304792E-8
4.94219999999999970E-9	-4.67467409836329306E-8
