time	Vo_no_amp
1.91219999999999679E-9	5.80377270703463743E-11
1.92219999999999658E-9	8.27740733161432019E-11
1.93219999999999636E-9	1.04643613290951065E-10
1.94219999999999660E-9	1.23296217225073423E-10
1.95219999999999727E-9	1.38465794125975483E-10
1.96219999999999706E-9	1.49974259765088291E-10
1.97219999999999729E-9	1.57733349371797948E-10
1.98219999999999796E-9	1.61744268226489907E-10
1.99219999999999775E-9	1.62095226510393875E-10
2.00219999999999798E-9	1.58956953380095078E-10
2.01219999999999777E-9	1.52576331066000304E-10
2.02219999999999844E-9	1.43268333538988046E-10
2.03219999999999867E-9	1.31406493432725613E-10
2.04219999999999802E-9	1.17412152715408080E-10
2.05219999999999869E-9	1.01742777438468357E-10
2.06219999999999981E-9	8.48796367772785842E-11
2.07219999999999960E-9	6.73151610472930528E-11
2.08219999999999894E-9	4.95402987996778421E-11
2.09219999999999917E-9	3.20321869334009790E-11
2.10219999999999896E-9	1.52424320670104185E-11
2.11220000000000008E-9	-4.13719275439880807E-13
2.12219999999999942E-9	-1.45670678884957439E-11
2.13220000000000010E-9	-2.69027817419200321E-11
2.14220000000000033E-9	-3.71671601942033636E-11
2.15220000000000011E-9	-4.51726969996380934E-11
2.16220000000000079E-9	-5.08013418506981651E-11
2.17220000000000102E-9	-5.40059061276316310E-11
2.18220000000000081E-9	-5.48096056772728168E-11
2.19220000000000104E-9	-5.33037818099220395E-11
2.20220000000000127E-9	-4.96438884261015190E-11
2.21220000000000150E-9	-4.40438747873520597E-11
2.22220000000000217E-9	-3.67691295233966997E-11
2.23220000000000196E-9	-2.81281844416003057E-11
2.24220000000000219E-9	-1.84634076396296387E-11
2.25220000000000198E-9	-8.14094151371299013E-12
2.26220000000000265E-9	2.45984154823178391E-12
2.27220000000000244E-9	1.29570856691427339E-11
2.28220000000000312E-9	2.29771201031549355E-11
2.29220000000000290E-9	3.21647750844763491E-11
2.30220000000000358E-9	4.01930809935756361E-11
2.31220000000000336E-9	4.67721053742499482E-11
2.32220000000000359E-9	5.16567077452829437E-11
2.33220000000000294E-9	5.46530220011212009E-11
2.34220000000000317E-9	5.56235091024702122E-11
2.35220000000000384E-9	5.44904598443896493E-11
2.36220000000000452E-9	5.12378697475025202E-11
2.37220000000000431E-9	4.59116534052005854E-11
2.38220000000000454E-9	3.86182097056179119E-11
2.39220000000000432E-9	2.95213898699068711E-11
2.40220000000000500E-9	1.88379583559965669E-11
2.41220000000000390E-9	6.83167420411647619E-12
2.42220000000000502E-9	-6.19384357086726212E-12
2.43220000000000525E-9	-1.99032716254092534E-11
2.44220000000000503E-9	-3.39385395772450149E-11
2.45220000000000482E-9	-4.79283513289064089E-11
2.46220000000000638E-9	-6.14980197813785345E-11
2.47220000000000617E-9	-7.42793573005014807E-11
2.48220000000000596E-9	-8.59203652127923334E-11
2.49220000000000619E-9	-9.60944744104082815E-11
2.50220000000000642E-9	-1.04509103413483695E-10
2.51220000000000665E-9	-1.10913318013511875E-10
2.52220000000000732E-9	-1.15104398756638227E-10
2.53220000000000667E-9	-1.16933151144362513E-10
2.54220000000000779E-9	-1.16307828450045880E-10
2.55220000000000802E-9	-1.13196575415153511E-10
2.56220000000000780E-9	-1.07628308919225812E-10
2.57220000000000715E-9	-9.96917779077925559E-11
2.58220000000000782E-9	-8.95320495125851146E-11
2.59220000000000805E-9	-7.73432501900475344E-11
2.60220000000000873E-9	-6.33568903482437484E-11
2.61220000000000852E-9	-4.78265248501107099E-11
2.62220000000000830E-9	-3.10106563069081975E-11
